<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.01	00:00:00	1.77601	1.77601	1.77601	1.77601	1	0	40
2019.08.01	00:04:00	1.77591	1.77591	1.77591	1.77591	1	0	130
2019.08.01	00:05:00	1.77582	1.77618	1.77582	1.77618	11	0	130
2019.08.01	00:06:00	1.77618	1.77618	1.77615	1.77615	3	0	130
2019.08.01	00:07:00	1.77615	1.77615	1.77615	1.77615	1	0	130
2019.08.01	00:08:00	1.77542	1.77543	1.77542	1.77542	3	0	103
2019.08.01	00:09:00	1.77542	1.77542	1.77445	1.77445	15	0	62
2019.08.01	00:10:00	1.77445	1.77472	1.77445	1.77457	30	0	130
2019.08.01	00:11:00	1.77457	1.77457	1.77442	1.77448	28	0	84
2019.08.01	00:12:00	1.77448	1.77452	1.77443	1.77443	5	0	109
2019.08.01	00:13:00	1.77443	1.77443	1.77442	1.77443	3	0	110
2019.08.01	00:14:00	1.77443	1.77490	1.77443	1.77490	7	0	109
2019.08.01	00:15:00	1.77495	1.77549	1.77485	1.77534	19	0	93
2019.08.01	00:16:00	1.77530	1.77537	1.77480	1.77480	12	0	104
2019.08.01	00:17:00	1.77483	1.77483	1.77480	1.77480	2	0	103
2019.08.01	00:18:00	1.77495	1.77504	1.77495	1.77502	3	0	84
2019.08.01	00:19:00	1.77484	1.77526	1.77479	1.77526	7	0	80
2019.08.01	00:20:00	1.77531	1.77531	1.77506	1.77506	6	0	129
2019.08.01	00:21:00	1.77505	1.77505	1.77505	1.77505	1	0	130
2019.08.01	00:22:00	1.77511	1.77529	1.77511	1.77511	7	0	118
2019.08.01	00:23:00	1.77508	1.77527	1.77508	1.77519	5	0	119
2019.08.01	00:24:00	1.77543	1.77544	1.77543	1.77544	2	0	121
2019.08.01	00:25:00	1.77544	1.77544	1.77529	1.77533	4	0	121
2019.08.01	00:26:00	1.77533	1.77533	1.77533	1.77533	1	0	130
2019.08.01	00:27:00	1.77533	1.77533	1.77533	1.77533	1	0	130
2019.08.01	00:28:00	1.77533	1.77533	1.77533	1.77533	1	0	130
2019.08.01	00:29:00	1.77533	1.77547	1.77520	1.77520	3	0	118
2019.08.01	00:30:00	1.77520	1.77583	1.77501	1.77502	38	0	83
2019.08.01	00:31:00	1.77506	1.77516	1.77498	1.77507	15	0	102
2019.08.01	00:32:00	1.77507	1.77516	1.77493	1.77497	14	0	92
2019.08.01	00:33:00	1.77497	1.77506	1.77497	1.77506	4	0	90
2019.08.01	00:34:00	1.77501	1.77510	1.77499	1.77499	9	0	90
2019.08.01	00:35:00	1.77499	1.77535	1.77499	1.77521	33	0	86
2019.08.01	00:36:00	1.77521	1.77541	1.77514	1.77522	14	0	76
2019.08.01	00:37:00	1.77517	1.77517	1.77493	1.77498	17	0	85
2019.08.01	00:38:00	1.77501	1.77505	1.77494	1.77494	9	0	81
2019.08.01	00:39:00	1.77494	1.77494	1.77492	1.77494	4	0	79
2019.08.01	00:40:00	1.77494	1.77581	1.77493	1.77567	14	0	77
2019.08.01	00:41:00	1.77567	1.77582	1.77538	1.77562	26	0	72
2019.08.01	00:42:00	1.77562	1.77562	1.77557	1.77559	6	0	89
2019.08.01	00:43:00	1.77559	1.77562	1.77555	1.77559	9	0	91
2019.08.01	00:44:00	1.77559	1.77569	1.77554	1.77564	84	0	82
2019.08.01	00:45:00	1.77564	1.77572	1.77557	1.77572	83	0	82
2019.08.01	00:46:00	1.77571	1.77583	1.77556	1.77581	61	0	78
2019.08.01	00:47:00	1.77580	1.77580	1.77576	1.77580	7	0	79
2019.08.01	00:48:00	1.77562	1.77567	1.77550	1.77566	4	0	64
2019.08.01	00:49:00	1.77548	1.77548	1.77490	1.77498	15	0	74
2019.08.01	00:50:00	1.77511	1.77516	1.77496	1.77514	18	0	86
2019.08.01	00:51:00	1.77514	1.77523	1.77509	1.77523	6	0	86
2019.08.01	00:52:00	1.77523	1.77523	1.77523	1.77523	1	0	87
2019.08.01	00:53:00	1.77519	1.77528	1.77519	1.77523	4	0	82
2019.08.01	00:54:00	1.77523	1.77527	1.77513	1.77517	7	0	82
2019.08.01	00:55:00	1.77520	1.77520	1.77511	1.77512	7	0	86
2019.08.01	00:56:00	1.77515	1.77519	1.77511	1.77519	11	0	90
2019.08.01	00:57:00	1.77519	1.77522	1.77504	1.77515	24	0	88
2019.08.01	00:58:00	1.77515	1.77517	1.77502	1.77512	30	0	88
2019.08.01	00:59:00	1.77512	1.77520	1.77493	1.77508	45	0	83
2019.08.01	01:00:00	1.77517	1.77591	1.77517	1.77548	124	0	57
2019.08.01	01:01:00	1.77545	1.77600	1.77541	1.77600	38	0	56
2019.08.01	01:02:00	1.77599	1.77645	1.77593	1.77645	29	0	30
2019.08.01	01:03:00	1.77642	1.77645	1.77628	1.77645	22	0	48
2019.08.01	01:04:00	1.77655	1.77656	1.77630	1.77631	13	0	45
2019.08.01	01:05:00	1.77630	1.77632	1.77595	1.77600	28	0	50
2019.08.01	01:06:00	1.77599	1.77604	1.77599	1.77602	5	0	49
2019.08.01	01:07:00	1.77602	1.77613	1.77602	1.77613	5	0	47
2019.08.01	01:08:00	1.77613	1.77617	1.77613	1.77614	7	0	43
2019.08.01	01:09:00	1.77614	1.77619	1.77600	1.77619	15	0	39
2019.08.01	01:10:00	1.77619	1.77621	1.77608	1.77609	11	0	42
2019.08.01	01:11:00	1.77608	1.77611	1.77592	1.77592	8	0	48
2019.08.01	01:12:00	1.77590	1.77591	1.77588	1.77590	9	0	51
2019.08.01	01:13:00	1.77590	1.77590	1.77586	1.77587	5	0	49
2019.08.01	01:14:00	1.77587	1.77587	1.77577	1.77577	3	0	52
2019.08.01	01:15:00	1.77577	1.77579	1.77570	1.77570	15	0	52
2019.08.01	01:16:00	1.77576	1.77653	1.77570	1.77640	29	0	33
2019.08.01	01:17:00	1.77640	1.77640	1.77629	1.77635	14	0	46
2019.08.01	01:18:00	1.77635	1.77635	1.77610	1.77610	18	0	43
2019.08.01	01:19:00	1.77614	1.77614	1.77588	1.77591	9	0	53
2019.08.01	01:20:00	1.77574	1.77574	1.77558	1.77558	6	0	49
2019.08.01	01:21:00	1.77563	1.77573	1.77560	1.77569	9	0	44
2019.08.01	01:22:00	1.77558	1.77595	1.77554	1.77588	18	0	44
2019.08.01	01:23:00	1.77588	1.77591	1.77562	1.77562	25	0	49
2019.08.01	01:24:00	1.77567	1.77567	1.77523	1.77532	20	0	47
2019.08.01	01:25:00	1.77534	1.77534	1.77523	1.77529	12	0	41
2019.08.01	01:26:00	1.77530	1.77535	1.77512	1.77512	16	0	43
2019.08.01	01:27:00	1.77512	1.77528	1.77508	1.77516	13	0	45
2019.08.01	01:28:00	1.77516	1.77521	1.77511	1.77521	7	0	46
2019.08.01	01:29:00	1.77521	1.77568	1.77511	1.77568	9	0	46
2019.08.01	01:30:00	1.77568	1.77581	1.77525	1.77576	24	0	43
2019.08.01	01:31:00	1.77576	1.77576	1.77548	1.77549	20	0	45
2019.08.01	01:32:00	1.77549	1.77575	1.77549	1.77565	24	0	43
2019.08.01	01:33:00	1.77564	1.77564	1.77521	1.77521	16	0	32
2019.08.01	01:34:00	1.77521	1.77521	1.77513	1.77515	4	0	50
2019.08.01	01:35:00	1.77515	1.77515	1.77499	1.77499	23	0	43
2019.08.01	01:36:00	1.77498	1.77533	1.77497	1.77533	22	0	42
2019.08.01	01:37:00	1.77533	1.77549	1.77514	1.77517	17	0	43
2019.08.01	01:38:00	1.77505	1.77546	1.77505	1.77543	17	0	47
2019.08.01	01:39:00	1.77543	1.77573	1.77539	1.77557	15	0	46
2019.08.01	01:40:00	1.77560	1.77566	1.77555	1.77555	17	0	47
2019.08.01	01:41:00	1.77560	1.77564	1.77559	1.77562	8	0	50
2019.08.01	01:42:00	1.77562	1.77572	1.77559	1.77572	5	0	43
2019.08.01	01:43:00	1.77572	1.77598	1.77563	1.77598	8	0	43
2019.08.01	01:44:00	1.77598	1.77598	1.77585	1.77585	17	0	37
2019.08.01	01:45:00	1.77585	1.77600	1.77584	1.77587	18	0	40
2019.08.01	01:46:00	1.77586	1.77589	1.77567	1.77572	32	0	44
2019.08.01	01:47:00	1.77572	1.77587	1.77572	1.77575	12	0	48
2019.08.01	01:48:00	1.77580	1.77589	1.77577	1.77586	6	0	53
2019.08.01	01:49:00	1.77586	1.77593	1.77580	1.77582	6	0	48
2019.08.01	01:50:00	1.77582	1.77590	1.77571	1.77575	21	0	47
2019.08.01	01:51:00	1.77575	1.77579	1.77561	1.77561	7	0	48
2019.08.01	01:52:00	1.77561	1.77568	1.77536	1.77540	25	0	50
2019.08.01	01:53:00	1.77539	1.77551	1.77538	1.77543	25	0	48
2019.08.01	01:54:00	1.77543	1.77546	1.77540	1.77546	6	0	56
2019.08.01	01:55:00	1.77546	1.77553	1.77540	1.77540	6	0	50
2019.08.01	01:56:00	1.77540	1.77540	1.77532	1.77532	4	0	55
2019.08.01	01:57:00	1.77535	1.77538	1.77523	1.77523	6	0	53
2019.08.01	01:58:00	1.77523	1.77523	1.77521	1.77521	2	0	54
2019.08.01	01:59:00	1.77521	1.77521	1.77513	1.77517	10	0	48
2019.08.01	02:00:00	1.77517	1.77546	1.77517	1.77541	26	0	48
2019.08.01	02:01:00	1.77542	1.77546	1.77523	1.77527	28	0	43
2019.08.01	02:02:00	1.77527	1.77527	1.77516	1.77516	6	0	47
2019.08.01	02:03:00	1.77516	1.77524	1.77511	1.77511	10	0	42
2019.08.01	02:04:00	1.77491	1.77498	1.77489	1.77493	14	0	45
2019.08.01	02:05:00	1.77493	1.77512	1.77493	1.77512	19	0	41
2019.08.01	02:06:00	1.77512	1.77530	1.77500	1.77501	18	0	42
2019.08.01	02:07:00	1.77501	1.77507	1.77492	1.77499	14	0	42
2019.08.01	02:08:00	1.77499	1.77505	1.77482	1.77486	13	0	39
2019.08.01	02:09:00	1.77486	1.77490	1.77465	1.77468	32	0	43
2019.08.01	02:10:00	1.77467	1.77478	1.77449	1.77463	43	0	30
2019.08.01	02:11:00	1.77463	1.77463	1.77436	1.77439	31	0	43
2019.08.01	02:12:00	1.77434	1.77436	1.77414	1.77415	26	0	42
2019.08.01	02:13:00	1.77422	1.77453	1.77413	1.77453	31	0	40
2019.08.01	02:14:00	1.77453	1.77485	1.77446	1.77481	19	0	38
2019.08.01	02:15:00	1.77486	1.77491	1.77468	1.77491	20	0	38
